Dutch,English
ik,I
je,you
u,you
hij,he
zij/ze,she/they
het,it
wij,we
jullie,you
dit,this
dat,that
wie,who
wat,what
waar,where
wanneer,when
waarom,why
hoe,how
niet,not
geen,no
ja,yes
nee,no
alstublieft,please
dank u wel,thank you
bedankt,thanks
goedemorgen,good morning
goeiemiddag,good afternoon
goedenavond,good evening
goedenacht,good night
hallo,hello
hoi,hi
tot ziens,goodbye
doei,bye
meneer,sir
mevrouw,madam
vriend,friend (m)
vriendin,friend (f)
man,man
vrouw,woman
kind,child
baby,baby
jongen,boy
meisje,girl
familie,family
naam,name
straat,street
huis,house
stad,city
dorp,village
land,country
werk,work
school,school
baan,job
winkel,shop
markt,market
geld,money
auto,car
fiets,bicycle
bus,bus
trein,train
station,station
luchthaven,airport
kamer,room
keuken,kitchen
badkamer,bathroom
bed,bed
tafel,table
stoel,chair
deur,door
raam,window
muur,wall
vloer,floor
plafond,ceiling
licht,light
water,water
brood,bread
melk,milk
koffie,coffee
thee,tea
bier,beer
wijn,wine
fruit,fruit
groente,vegetables
vlees,meat
vis,fish
kaas,cheese
appel,apple
banaan,banana
sinaasappel,orange
aardappel,potato
tomaat,tomato
ei,egg
boter,butter
suiker,sugar
zout,salt
peper,pepper
eten,to eat
drinken,to drink
koken,to cook
maken,to make
lezen,to read
schrijven,to write
spreken,to speak
zeggen,to say
luisteren,to listen
kijken,to watch
zien,to see
gaan,to go
komen,to come
lopen,to walk
rennen,to run
zitten,to sit
staan,to stand
slapen,to sleep
werken,to work
spelen,to play
studeren,to study
leren,to learn
begrijpen,to understand
weten,to know
denken,to think
voelen,to feel
willen,to want
kunnen,can
moeten,must
mogen,may
houden van,to love
leuk vinden,to like
helpen,to help
proberen,to try
vragen,to ask
antwoorden,to answer
kopen,to buy
verkopen,to sell
beginnen,to begin
eindigen,to finish
openen,to open
sluiten,to close
dragen,to wear
pakken,to take
gooien,to throw
lachen,to laugh
huilen,to cry
roepen,to call
wachten,to wait
vergeten,to forget
herinneren,to remember
vasthouden,to hold
laten,to let
geven,to give
nemen,to take
gebruiken,to use
trekken,to pull
duwen,to push
reizen,to travel
betalen,to pay
zoeken,to search
vinden,to find
verliezen,to lose
winnen,to win
dag,day
nacht,night
ochtend,morning
middag,afternoon
avond,evening
tijd,time
jaar,year
maand,month
week,week
uur,hour
minuut,minute
seconde,second
altijd,always
nooit,never
soms,sometimes
vaak,often
nu,now
later,later
gisteren,yesterday
vandaag,today
morgen,tomorrow
groot,big
klein,small
lang,long
kort,short
nieuw,new
oud,old
goed,good
slecht,bad
mooi,beautiful
lelijk,ugly
makkelijk,easy
moeilijk,difficult
snel,fast
langzaam,slow
warm,warm
koud,cold
jong,young
gelukkig,happy
verdrietig,sad
ziek,sick
gezond,healthy
duur,expensive
goedkoop,cheap
een,one
twee,two
drie,three
vier,four
vijf,five
zes,six
zeven,seven
acht,eight
negen,nine
tien,ten
elf,eleven
twaalf,twelve
dertien,thirteen
veertien,fourteen
vijftien,fifteen
zestien,sixteen
zeventien,seventeen
achttien,eighteen
negentien,nineteen
twintig,twenty
dertig,thirty
veertig,forty
vijftig,fifty
zestig,sixty
zeventig,seventy
tachtig,eighty
negentig,ninety
honderd,hundred
duizend,thousand
miljoen,million
de,the
is,is
zijn,to be
er,there
maar,but
me,me
heb,have
als,as
ben,am
was,was
mijn,my
hier,here
om,to
naar,to
dan,then
weet,know
kan,can
zo,so
nog,yet
wel,well
moet,must
hem,him
heeft,has
nu,now
ga,go
kom,come
uit,from
gaan,go
bent,are
haar,her
doen,do
ook,also
mij,me
over,about
of,or
daar,there
zou,would
al,already
bij,by
ons,us
zal,shall
gaat,goes
hebt,have
meer,more
iets,something
laat,late
deze,this
had,had
doe,do
jou,you
moeten,must
alles,everything
denk,think
kunnen,can
eens,once
echt,really
weg,way
door,through
oké,okay
toch,yet
zien,see
alleen,only
nou,well
leven,to live
mensen,people
dood,death
tijd,time
jaar,year
maand,month
week,week
dag,day
uur,hour
minuut,minute
seconde,second
geld,money
prijs,price
kost,cost
euro,euro
cent,cent
duur,expensive
goedkoop,cheap
gratis,free
betalen,to pay
kopen,to buy
verkopen,to sell
winkel,shop
markt,market
supermarkt,supermarket
restaurant,restaurant
café,café
hotel,hotel
plaats,place
land,country
stad,city
dorp,village
straat,street
adres,address
nummer,number
telefoon,telephone
computer,computer
internet,internet
e-mail,email
website,website
telefonnummer,phone number
mobiel,mobile
camera,camera
foto,photo
film,film
video,video
muziek,music
lied,song
boek,book
krant,newspaper
tijdschrift,magazine
televisie,television
radio,radio
familie,family
ouders,parents
vader,father
moeder,mother
zoon,son
dochter,daughter
broer,brother
zus,sister
opa,grandfather
oma,grandmother
oom,uncle
tante,aunt
neef,cousin
nicht,cousin
huwelijk,marriage
bruiloft,wedding
scheiding,divorce
geboorte,birth
dood,death
begrafenis,funeral
partij,party
feest,party
vakantie,vacation
reis,trip
vlucht,flight
hotel,hotel
camping,camping
strand,beach
zee,sea
meer,lake
rivier,river
berg,mountain
bos,forest
park,park
tuin,garden
boom,tree
bloem,flower
gras,grass
lucht,sky
zon,sun
maan,moon
sterren,stars
regen,rain
sneeuw,snow
wind,wind
warm,warm
koud,cold
heet,hot
koel,cool
nat,wet
droog,dry
schoon,clean
vuil,dirty
licht,light
donker,dark
kleur,color
rood,red
blauw,blue
groen,green
geel,yellow
wit,white
zwart,black
oranje,orange
paars,purple
roze,pink
bruin,brown
grijs,gray
lichaam,body
hoofd,head
haar,hair
gezicht,face
oog,eye
neus,nose
mond,mouth
tand,tooth
tong,tongue
oor,ear
nek,neck
schouder,shoulder
arm,arm
hand,hand
vinger,finger
duim,thumb
been,leg
voet,foot
teen,toe
buik,belly
rug,back
huid,skin
hart,heart
bloed,blood
ziekenhuis,hospital
dokter,doctor
verpleegster,nurse
medicijn,medicine
pijn,pain
gezond,healthy
ziek,sick
ziekte,disease
verkoudheid,cold
koorts,fever
hoofdpijn,headache
tandpijn,toothache
sport,sport
voetbal,football
tennis,tennis
zwemmen,swimming
hardlopen,running
fietsen,cycling
wandelen,walking
spelen,to play
wedstrijd,match
team,team
winnen,to win
verliezen,to lose
score,score
kleding,clothing
hemd,shirt
broek,pants
jurk,dress
rok,skirt
jas,jacket
schoenen,shoes
sokken,socks
hoed,hat
riem,belt
horloge,watch
sieraden,jewelry
ring,ring
ketting,necklace
onderwijs,education
school,school
leraar,teacher
leerling,student
les,lesson
klas,class
huiswerk,homework
examen,exam
diploma,diploma
universiteit,university
studie,study
baan,job
kantoor,office
baas,boss
collega,colleague
vergadering,meeting
project,project
bedrijf,company
fabrik,factory
winst,profit
verlies,loss
zakelijk,business
eten,food
ontbijt,breakfast
lunch,lunch
diner,dinner
maaltijd,meal
restaurant,restaurant
keuken,kitchen
koken,to cook
recept,recipe
smaak,taste
zoet,sweet
zout,salty
zuur,sour
bitter,bitter
scherp,sharp
oud,old
ouder,older
oudste,oldest
nieuw,new
nieuwer,newer
nieuwste,newest
jong,young
jonger,younger
jongste,youngest
groot,big
groter,bigger
grootste,biggest
klein,small
kleiner,smaller
kleinste,smallest
hoog,high
hoger,higher
hoogste,highest
laag,low
lager,lower
laagste,lowest
snel,fast
sneller,faster
snelste,fastest
langzaam,slow
langzamer,slower
langzaamste,slowest
sterk,strong
sterker,stronger
sterkste,strongest
zwak,weak
zwakker,weaker
zwakste,weakest
rijk,rich
rijker,richer
rijkste,richest
arm,poor
armer,poorer
armste,poorest
slim,smart
slimmer,smarter
slimste,smartest
dom,stupid
dommer,more stupid
domste,most stupid
belangrijk,important
belangrijker,more important
belangrijkste,most important
interessant,interesting
interessanter,more interesting
interessantste,most interesting
saai,boring
saaier,more boring
saaiste,most boring
leuk,nice
leuker,more fun
leukste,most fun
vreemd,strange
vreemder,stranger
vreemdste,strangest
normaal,normal
gewoon,ordinary
speciaal,special
verschillend,different
hetzelfde,the same
precies,exactly
bijna,almost
helemaal,completely
misschien,maybe
waarschijnlijk,probably
zeker,sure
onzeker,uncertain
mogelijk,possible
onmogelijk,impossible
natuurlijk,naturally
eindelijk,finally
plotseling,suddenly
langzaam,slowly
voorzichtig,carefully
hard,hard
zacht,soft
stil,quiet
luid,loud
open,open
dicht,closed
vol,full
leeg,empty
links,left
rechts,right
boven,above
onder,below
binnen,inside
buiten,outside
ergens,somewhere
nergens,nowhere
overal,everywhere
eerste,first
tweede,second
derde,third
vierde,fourth
vijfde,fifth
zesde,sixth
zevende,seventh
achtste,eighth
negende,ninth
tiende,tenth
laatste,last
volgende,next
vorige,previous
begin,beginning
einde,end
midden,middle
kant,side
deel,part
stuk,piece
soort,type
manier,way
reden,reason
probleem,problem
oplossing,solution
vraag,question
antwoord,answer
idee,idea
plan,plan
doel,goal
resultaat,result
gevolg,consequence
kans,chance
geluk,luck
pech,bad luck
succes,success
fout,mistake
falen,failure
keuze,choice
beslissing,decision
verandering,change
verschil,difference
vergelijking,comparison
verband,connection
relatie,relationship
liefde,love
haat,hate
vriendschap,friendship
vijandschap,enmity
respect,respect
vertrouwen,trust
angst,fear
moed,courage
hoop,hope
wanhoop,despair
blijdschap,joy
verdriet,sadness
boosheid,anger
jaloezie,jealousy
trots,pride
schaamte,shame
schuld,guilt
spijt,regret
vergiffenis,forgiveness
geduld,patience
ongeduld,impatience
wijsheid,wisdom
domheid,stupidity
kennis,knowledge
ervaring,experience
vaardigheid,skill
talent,talent
gave,gift
mogelijkheid,possibility
kans,opportunity
voordeel,advantage
nadeel,disadvantage
hulp,help
steun,support
advies,advice
tip,tip
informatie,information
nieuws,news
bericht,message
brief,letter
kaart,card
cadeau,gift
present,present
surprise,surprise
bezoek,visit
uitnodiging,invitation
afspraak,appointment
ontmoeting,meeting
gesprek,conversation
discussie,discussion
ruzie,argument
conflict,conflict
oorlog,war
vrede,peace
politiek,politics
regering,government
president,president
minister,minister
wet,law
regel,rule
recht,right
plicht,duty
vrijheid,freedom
gevangenis,prison
politie,police
rechter,judge
advocaat,lawyer
misdaad,crime
dief,thief
stelen,to steal
moord,murder
doden,to kill
geweld,violence
veiligheid,safety
gevaar,danger
risico,risk
bescherming,protection
hulp,help
redding,rescue
noodgeval,emergency
brand,fire
ongeluk,accident
ziekenwagen,ambulance
brandweer,fire department
verzekering,insurance
garantie,guarantee
contract,contract
akkoord,agreement
handtekening,signature
document,document
formulier,form
papier,paper
pen,pen
potlood,pencil
marker,marker
stift,pen
gum,eraser
liniaal,ruler
schaar,scissors
lijm,glue
tape,tape
map,folder
tas,bag
koffer,suitcase
rugzak,backpack
portemonnee,wallet
sleutels,keys
slot,lock
veiligheid,security
alarm,alarm
systeem,system
technologie,technology
machine,machine
apparaat,device
instrument,instrument
gereedschap,tool
hamer,hammer
schroef,screw
spijker,nail
zaag,saw
boor,drill
mes,knife
vork,fork
lepel,spoon
bord,plate
kom,bowl
glas,glass
fles,bottle
kan,jug
theepot,teapot
koffiepot,coffee pot
pan,pan
pot,pot
deksel,lid
koelkast,refrigerator
fornuis,stove
oven,oven
magnetron,microwave
wasmachine,washing machine
droger,dryer
stofzuiger,vacuum cleaner
televisie,television
radio,radio
computer,computer
laptop,laptop
tablet,tablet
smartphone,smartphone
telefoon,phone
internet,internet
wifi,wifi
website,website
e-mail,email
app,app
programma,program
software,software
hardware,hardware
data,data
informatie,information
bestand,file
map,folder
scherm,screen
toetsenbord,keyboard
muis,mouse
